Boot
MPU WHO=0x68
MPU init OK
Keep robot still...
Gyro calibration done
gx_bias=-176 gy_bias=-50 gz_bias=-14
Init OK
pitch_ofs=4500 Kx=0 Kv=0 Kp=950 Kd=70 rate_lim=180000 dt_ms=5 twi_hz=400000 brake=sel
st,enc_vel,est,rate,rate_ctl,err,kp_term,kd_term,kw_term,cmd_nom,cap_boost,cmd,brk,ctrl_dt_us,ctrl_exec_us,ARMED,ARM_WIN,CAP_TRIG,CAP_ACTIVE,CAP_DIV,CAP_BODY_DIV,CAP_ENTRY_PEND,CAP_EXIT_PEND,ANG_HI,VEL_HI,RATE_HI,CMD_HI,ENC_INV_A,ENC_INV_B,BOOST_POS,BOOST_NEG
2080,0,32653,30,30,-32653,3102,0,0,3102,0,1000,0,5000,1632,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32654,0,0,-32654,3102,0,0,3102,0,1000,0,5000,1584,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32653,-45,-45,-32653,3102,0,0,3102,0,1000,0,5000,1636,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32649,-30,-30,-32649,3101,0,0,3101,0,1000,0,5000,1632,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32647,-90,-90,-32647,3101,0,0,3101,0,1000,0,5000,1644,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32648,-45,-45,-32648,3101,0,0,3101,0,1000,0,5000,1640,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32647,136,136,-32647,3101,0,0,3101,0,1000,0,5000,1632,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32646,-60,-60,-32646,3101,0,0,3101,0,1000,0,5000,1636,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32646,-30,-30,-32646,3101,0,0,3101,0,1000,0,5000,1636,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32642,-15,-15,-32642,3100,0,0,3100,0,1000,0,5000,1628,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32641,151,151,-32641,3100,-1,0,3099,0,1000,0,5000,1656,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32645,-45,-45,-32645,3101,0,0,3101,0,1000,0,5000,1636,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32644,15,15,-32644,3101,0,0,3101,0,1000,0,5000,1628,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32645,0,0,-32645,3101,0,0,3101,0,1000,0,5000,1580,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32645,15,15,-32645,3101,0,0,3101,0,1000,0,5000,1624,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32650,-45,-45,-32650,3101,0,0,3101,0,1000,0,5000,1636,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32648,-45,-45,-32648,3101,0,0,3101,0,1000,0,5000,1636,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32651,-469,-469,-32651,3101,3,0,3104,0,1000,0,5000,1672,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32647,121,121,-32647,3101,0,0,3101,0,1000,0,5000,1648,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32653,-212,-212,-32653,3102,1,0,3103,0,1000,0,5000,1652,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32643,-393,-393,-32643,3101,2,0,3103,0,1000,0,5000,1656,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32639,-272,-272,-32639,3100,1,0,3101,0,1000,0,5000,1640,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32636,-151,-151,-32636,3100,1,0,3101,0,1000,0,5000,1656,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32641,-166,-166,-32641,3100,1,0,3101,0,1000,0,5000,1648,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32634,-242,-242,-32634,3100,1,0,3101,0,1000,0,5000,1660,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32626,15,15,-32626,3099,0,0,3099,0,1000,0,5000,1628,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32625,-818,-818,-32625,3099,5,0,3104,0,1000,0,5000,1672,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32631,287,287,-32631,3099,-2,0,3097,0,1000,0,5000,1668,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32658,-1409,-1409,-32658,3102,9,0,3111,0,1000,0,5000,1672,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32687,257,257,-32687,3105,-1,0,3104,0,1000,0,5000,1640,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32707,-60,-60,-32707,3107,0,0,3107,0,1000,0,5000,1640,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32692,-2439,-2439,-32692,3105,17,0,3122,0,1000,0,5000,1688,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32597,1666,1666,-32597,3096,-11,0,3085,0,1000,0,5000,1668,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32587,-1060,-1060,-32587,3095,7,0,3102,0,1000,0,5000,1660,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32565,-6363,-6363,-32565,3093,44,0,3137,0,1000,0,5000,1704,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3072,0,32420,-11333,-11333,-32420,3079,79,0,3158,0,1000,0,5000,1700,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,32122,-11257,-11257,-32122,3051,78,0,3129,0,1000,0,5000,1728,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,31973,-15075,-15075,-31973,3037,105,0,3142,0,1000,0,5000,1724,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,31645,-27696,-27696,-31645,3006,193,0,3199,0,1000,0,5000,1708,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,31035,-40121,-40121,-31035,2948,280,0,3228,0,1000,0,5000,1732,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,30167,-44454,-44454,-30167,2865,311,0,3176,0,1000,0,5000,1736,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,29006,-36151,-36151,-29006,2755,253,0,3008,0,1000,0,5000,1732,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,28281,-30075,-30075,-28281,2686,210,0,2896,0,1000,0,4996,1740,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,27821,-30681,-30681,-27821,2642,214,0,2856,0,1000,0,5000,1744,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,26991,-37848,-37848,-26991,2564,264,0,2828,0,1000,0,5000,1728,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,26182,-43212,-43212,-26182,2487,302,0,2789,0,1000,0,5000,1720,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,25488,-45651,-45651,-25488,2421,319,0,2740,0,1000,0,5000,1728,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,24283,-42166,-42166,-24283,2306,295,0,2601,0,1000,0,5000,1724,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,23621,-39272,-39272,-23621,2243,274,0,2517,0,1000,0,5000,1720,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,22591,-38727,-38727,-22591,2146,271,0,2417,0,1000,0,5000,1732,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,21970,-38515,-38515,-21970,2087,269,0,2356,0,1000,0,5000,1732,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,21139,-38393,-38393,-21139,2008,268,0,2276,0,1000,0,5000,1740,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,20325,-37924,-37924,-20325,1930,265,0,2195,0,1000,0,5000,1700,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,19283,-33333,-33333,-19283,1831,233,0,2064,0,1000,0,5000,1712,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,18587,-24696,-24696,-18587,1765,172,0,1937,0,1000,0,5000,1708,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,18069,-21878,-21878,-18069,1716,153,0,1869,0,1000,0,5000,1728,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,17703,-23015,-23015,-17703,1681,161,0,1842,0,1000,0,5000,1736,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
