Boot
MPU WHO=0x68
MPU init OK
Keep robot still...
Gyro calibration done
gx_bias=-187 gy_bias=-68 gz_bias=-9
Init OK
pitch_ofs=-4500 Kx=800 Kv=0 Kp=1600 Kd=120 rate_lim=200000 dt_ms=5 twi_hz=400000 brake=sel
st,enc_vel,est,rate,rate_ctl,kx_term,kv_term,err,kp_term,kd_term,cmd_nom,cmd,brk,ctrl_dt_us,ctrl_exec_us,late_ms,ARMED,ARM_WIN,CAP_TRIG,CAP_ACTIVE,CAP_DIV,CAP_BODY_DIV,CAP_ENTRY_PEND,CAP_EXIT_PEND,ANG_HI,VEL_HI,RATE_HI,CMD_HI,ENC_INV_A,ENC_INV_B,BOOST_POS,BOOST_NEG
0,0,-31863,-30,0,0,0,0,0,0,0,0,0,4996,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-31862,15,0,0,0,0,0,0,0,0,0,4996,1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-31862,-45,0,0,0,0,0,0,0,0,0,5004,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-31860,-106,0,0,0,0,0,0,0,0,0,4996,1432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-31860,-15,0,0,0,0,0,0,0,0,0,5000,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-31856,-75,0,0,0,0,0,0,0,0,0,4008,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-31861,30,0,0,0,0,0,0,0,0,0,4008,1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-31865,-15,0,0,0,0,0,0,0,0,0,4008,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-31858,-75,0,0,0,0,0,0,0,0,0,4996,1428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-31860,30,0,0,0,0,0,0,0,0,0,5000,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-31853,30,0,0,0,0,0,0,0,0,0,4996,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
